text,sentiment
great day look like dream,positive
feel sorri miss sea beach,positive
dont angri,negative
attend class listen teacher read slide nonsenc,negative
want go let go,negative
night feel neutral,neutral
feed babi fun smile coo,positive
soooo high,neutral
,neutral
today first time arriv boat amaz journey,positive
love someth like emc rule,neutral
realli realli like song cardigan taylor swift,positive
sharpi run danger low ink,negative
want go music tonight lost voic,negative
alway somewher miss,neutral
dont distrub,negative
dont care,negative
ive sick past day,neutral
im come back home past job realli good time,positive
never fall love found,positive
oh maya im sorri hope find soon,neutral
play kid amaz,positive
clean hous famili com later today,neutral
tri shtdown pc accenditenli click restart button realli disgust,negative
follow follow,neutral
amaz game play everyday,positive
im sorri,negative
im villag hardli found intern feel gloomi,negative
juss came back baris,neutral
went sleep power cut villag,neutral
look like compani new logo,positive
buy sophi world book im realli happi,positive
consol got bmi test hahaha say obes well much unhappi minut,negative
that funni cute kid,positive
ahhh slept game im gon na tri best watch tomorrow though hope play armi,neutral
semest final exam complet hurray,positive
born rais nyc live texa past year still miss ny,negative
case wonder realli busi today come ad ton new blog updat stay tune,neutral
im soooooo sleeeeepi last day school todaysniffl,negative
romanc zero funni,positive
car happi big big dent boot hope theyr go write cross finger wait,neutral
yor unromant,negative
mayday,neutral
id rather earli runbut morn runner,neutral
love im avail pm dear,positive
girl hair salon ask shall trim eyebrow old feel,neutral
talk,neutral
im soo bore dont like music video,negative
concert amaz,positive
nicotin replac patch hour far good sleep hour get bit twitchi,neutral
rain need umbrella,neutral
sleep lost voic coupl day ago,negative
im depress im think suicid need,negative
ive heard fall im wait,neutral
saw amaz nightmar yesterday night,neutral
creeper feel disappoint,negative
bad headech need,negative
happi mother day mom mother real hero,positive
grab coffe make mom breakfast,neutral
im think im go fun tonight,positive
yesterday valuabl day,positive
haha know cant handl fame thank,positive
one suggest date,neutral
alway love everyon love anim import love parent,positive
im play minecraft video game im addic,positive
see cloud,neutral
im think im go fun tonightand mayb chang come,positive
thank major chop,neutral
got updat ipod,neutral
still love love,positive
let go time play cricket match,positive
hey everyon watch cricket match eng v au yesterday,neutral
australia cricket team love,positive
mean your go come back vancouv way hahah,neutral
feel smooth like chrome,positive
feel gloomi,negative
today go concert,neutral
need coffe,neutral
sound like,neutral
bad day day realiz mess youv put one happiest day life,neutral
walk class hate bikeespeci mine,negative
im start learn machin learn,neutral
fail inspect,negative
let sing song,positive
happi father day father world,positive
today semest final exam realli great,positive
realli great day,positive
except short dude,neutral
congratul achiev,positive
follow u recent pleas dont offend havent follow back hit limit,positive
ye work,neutral
hmmm mayb that meant,neutral
done spa meet vic late lunch,neutral
happi monday go tavar today hope everyon bless day,positive
alway want go univers,neutral
thank,neutral
realli great footbal match,positive
that need,positive
okay im dedic th tweet fact im go appl store huge crack glass screen,neutral
could ever actual allow stay,neutral
let know turn,neutral
sa detect long isnt back sa haha,neutral
yeah think ahaha,positive
today eee day,neutral
im sleep accept appolog,negative
im studi psycholog,negative
live pain bring,neutral
okay im back later,neutral
visit world longest sea beach realli amaz time u,positive
almost die laptop screen set bright reinstal window vista,positive
wait tish get got drive mom crv pick ducki first time,neutral
attitud look like autist child,negative
go shower dont want smell school tomorrow,neutral
know sign languag,neutral
sinc demis woolworth isnt easi find reason price pick n mix anywher,negative
may fourth happi star war day,positive
got home work,neutral
ye pleas dont go die cri normal lead small anim get harm,negative
write report card soooo tire amaz day check fb soon,positive
